Asset,Alpha,CRPS_Parametric,CRPS_Hybrid,VaRRate_Parametric,VaRRate_Hybrid,KupiecP_Parametric,KupiecP_Hybrid,ChristoffersenP_Parametric,ChristoffersenP_Hybrid,DM_CRPS,DM_pValue,DM_meanDiff,DM_n
EURUSD,0.05,0.00250020014726637,0.00256842644031862,0.0527472527472527,0.0569767441860465,0.593896145163304,0.193614207489626,0.00171110112538742,0.000199076892832495,-2.77318297965461,0.00555108978732899,-1.24115712843909e-05,1620
USDJPY,0.05,0.0029967712925985,0.00454150732987509,0.0445054945054945,0.0645348837209302,0.273471886883647,0.00799288546377608,0.536674637749374,0.0231051398623262,-2.59380157634957,0.00949212511601671,-0.00144677281967898,1620
GBPUSD,0.05,0.00299840553111178,0.0085084599806701,0.0406593406593407,0.0488372093023256,0.0591510128260129,0.824244787555144,0.00207436380550241,0.00234261888840703,-8.58339071634567,0,-0.00548748173432432,1620
AUDUSD,0.05,0.00347491563334807,511.042581174878,0.0510989010989011,0.0459302325581395,0.830263288594882,0.432600030616149,0.97053593957944,0.357087749630534,-5.58323280298853,2.36088377736365e-08,-511.039015639193,1620
